ark	requete	tempo	duree	bruit
ark:/12148/bpt6k127225s	MusiqueBretonne	117	101	0
ark:/12148/bpt6k129289x	MusiqueBretonne	89	129	0
ark:/12148/bpt6k88409245	MusiqueBretonne	166	30	0
ark:/12148/bpt6k8816461r	MusiqueBretonne	156	30	0
ark:/12148/bpt6k88100492	MusiqueBretonne	143	30	0
ark:/12148/bpt6k8841959p	MusiqueBretonne	105	30	0
ark:/12148/bpt6k88124173	MusiqueBretonne	132	30	0
ark:/12148/bpt6k8829760k	MusiqueBretonne	129	30	0
ark:/12148/bpt6k88035718	MusiqueBretonne	135	30	0
ark:/12148/bpt6k8843967v	MusiqueBretonne	132	30	0
ark:/12148/bpt6k88001798	MusiqueBretonne	135	30	0
ark:/12148/bpt6k8824014c	MusiqueBretonne	166	30	0
ark:/12148/bpt6k88409297	MusiqueBretonne	147	30	0
ark:/12148/bpt6k8842416h	MusiqueBretonne	132	30	0
ark:/12148/bpt6k8817530v	MusiqueBretonne	123	30	0
ark:/12148/bpt6k8824554m	MusiqueBretonne	117	30	0
ark:/12148/bpt6k88207364	MusiqueBretonne	114	30	0
ark:/12148/bpt6k8842776t	MusiqueBretonne	147	30	0
ark:/12148/bpt6k8837025c	MusiqueBretonne	109	30	0
ark:/12148/bpt6k88035073	MusiqueBretonne	151	30	0
ark:/12148/bpt6k8800034b	MusiqueBretonne	117	30	0
ark:/12148/bpt6k88006775	MusiqueBretonne	139	30	0
ark:/12148/bpt6k88036224	MusiqueBretonne	135	30	0
ark:/12148/bpt6k129272x	ClaudeDebussy	95	94	0
ark:/12148/bpt6k13113060	ClaudeDebussy	139	147	0
ark:/12148/bpt6k128855z	ClaudeDebussy	139	98	0
ark:/12148/bpt6k128854k	ClaudeDebussy	120	134	0
ark:/12148/bpt6k1275475	ClaudeDebussy	112	198	0
ark:/12148/bpt6k128692k	ClaudeDebussy	114	226	0
ark:/12148/bpt6k8808415v	ClaudeDebussy	135	30	0
ark:/12148/bpt6k88223831	ClaudeDebussy	135	30	0
ark:/12148/bpt6k88162486	ClaudeDebussy	74	30	0
ark:/12148/bpt6k88133565	ClaudeDebussy	103	30	0
ark:/12148/bpt6k8843538r	ClaudeDebussy	120	30	0
ark:/12148/bpt6k8843732z	ClaudeDebussy	114	30	0
ark:/12148/bpt6k8843692w	ClaudeDebussy	234	30	0
ark:/12148/bpt6k8801438p	ClaudeDebussy	103	30	0
ark:/12148/bpt6k8801645h	ClaudeDebussy	172	30	0
ark:/12148/bpt6k88068717	ClaudeDebussy	114	30	0
ark:/12148/bpt6k88225184	ClaudeDebussy	93	30	0
ark:/12148/bpt6k8805949f	ClaudeDebussy	92	30	0
ark:/12148/bpt6k8805889m	ClaudeDebussy	117	30	0
ark:/12148/bpt6k88242461	ClaudeDebussy	90	30	0
ark:/12148/bpt6k8801477s	ClaudeDebussy	132	30	0
ark:/12148/bpt6k88039188	ClaudeDebussy	184	30	0
ark:/12148/bpt6k8814252g	ClaudeDebussy	126	30	0
ark:/12148/bpt6k88035058	ClaudeDebussy	93	30	0
ark:/12148/bpt6k8801476c	ClaudeDebussy	126	30	0
ark:/12148/bpt6k8818229g	ClaudeDebussy	126	30	0
ark:/12148/bpt6k8805105h	ClaudeDebussy	135	30	0
ark:/12148/bpt6k8802594z	ClaudeDebussy	166	30	0
ark:/12148/bpt6k88128073	ClaudeDebussy	191	30	0
ark:/12148/bpt6k88105365	ClaudeDebussy	120	30	0
ark:/12148/bpt6k8814185h	ClaudeDebussy	126	30	0
ark:/12148/bpt6k8801412f	ClaudeDebussy	166	30	0
ark:/12148/bpt6k8816268z	ClaudeDebussy	135	30	0
ark:/12148/bpt6k88205106	ClaudeDebussy	135	30	0
ark:/12148/bpt6k8820667b	ClaudeDebussy	93	30	0
ark:/12148/bpt6k8813766x	ClaudeDebussy	126	30	0
ark:/12148/bpt6k8807492b	ClaudeDebussy	89	30	0
ark:/12148/bpt6k8810160f	ClaudeDebussy	166	30	0
ark:/12148/bpt6k88070511	ClaudeDebussy	90	30	0
ark:/12148/bpt6k88014786	ClaudeDebussy	112	30	0
ark:/12148/bpt6k8820509j	ClaudeDebussy	139	30	0
ark:/12148/bpt6k8801095b	ClaudeDebussy	147	30	0
ark:/12148/bpt6k88017023	ClaudeDebussy	178	30	0
ark:/12148/bpt6k8843701d	ClaudeDebussy	147	30	0
ark:/12148/bpt6k8807115h	ClaudeDebussy	117	30	0
ark:/12148/bpt6k88017913	ClaudeDebussy	101	30	0
ark:/12148/bpt6k8813355r	ClaudeDebussy	132	30	0
ark:/12148/bpt6k88014808	ClaudeDebussy	107	30	0
ark:/12148/bpt6k8801622h	ClaudeDebussy	92	30	0
ark:/12148/bpt6k8813431p	ClaudeDebussy	89	30	0
ark:/12148/bpt6k127335f	JeanSebastienBach	123	257	0
ark:/12148/bpt6k1273342	JeanSebastienBach	166	204	0
ark:/12148/bpt6k88164284	JeanSebastienBach	103	30	0
ark:/12148/bpt6k8811604v	JeanSebastienBach	117	30	0
ark:/12148/bpt6k8816434v	JeanSebastienBach	90	30	0
ark:/12148/bpt6k8829925t	JeanSebastienBach	178	30	0
ark:/12148/bpt6k88061905	JeanSebastienBach	147	30	0
ark:/12148/bpt6k8844216f	JeanSebastienBach	156	30	0
ark:/12148/bpt6k88026823	JeanSebastienBach	95	30	0
ark:/12148/bpt6k8814221x	JeanSebastienBach	156	30	0
ark:/12148/bpt6k8814218f	JeanSebastienBach	126	30	0
ark:/12148/bpt6k8801322g	JeanSebastienBach	129	30	0
ark:/12148/bpt6k88224997	JeanSebastienBach	139	30	0
ark:/12148/bpt6k8822353w	JeanSebastienBach	135	30	0
ark:/12148/bpt6k8800987k	JeanSebastienBach	166	30	0
ark:/12148/bpt6k88225043	JeanSebastienBach	123	30	0
ark:/12148/bpt6k8822498t	JeanSebastienBach	114	30	0
ark:/12148/bpt6k8822358z	JeanSebastienBach	126	30	0
ark:/12148/bpt6k8814220h	JeanSebastienBach	93	30	0
ark:/12148/bpt6k8809653j	JeanSebastienBach	117	30	0
ark:/12148/bpt6k88096524	JeanSebastienBach	215	30	0
ark:/12148/bpt6k8822314s	JeanSebastienBach	93	30	0
ark:/12148/bpt6k8814050z	JeanSebastienBach	161	30	0
ark:/12148/bpt6k8807120t	JeanSebastienBach	132	30	0
ark:/12148/bpt6k8807297q	JeanSebastienBach	103	30	0
ark:/12148/bpt6k8822352g	JeanSebastienBach	135	30	0
ark:/12148/bpt6k88072984	JeanSebastienBach	151	30	0
ark:/12148/bpt6k8814219v	JeanSebastienBach	135	30	0
ark:/12148/bpt6k8821702n	JeanSebastienBach	135	30	0
ark:/12148/bpt6k8819443r	JeanSebastienBach	114	30	0
ark:/12148/bpt6k88013212	JeanSebastienBach	112	30	0
ark:/12148/bpt6k8813905x	JeanSebastienBach	83	30	0
ark:/12148/bpt6k8801320n	JeanSebastienBach	123	30	0
ark:/12148/bpt6k8809227p	JeanSebastienBach	135	30	0
ark:/12148/bpt6k8801316r	JeanSebastienBach	147	30	0
ark:/12148/bpt6k8824349m	JeanSebastienBach	123	30	0
ark:/12148/bpt6k8801853r	JeanSebastienBach	156	30	0
ark:/12148/bpt6k88071054	JeanSebastienBach	126	30	0
